job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
数据开发工程师,https://www.lagou.com/jobs/7198915.html,东莞市市辖区,8k-10k,东莞美信企业管理咨询有限公司,1-3年,本科,六险一金、包吃住、年底分红、带薪年假,【岗位职责】1、 负责客户画像体系的设计与开发；2、 负责数据模型的设计，数据仓库的搭建，完成数据同步、数据清洗的ETL过程，以及数据质量的治理；3、 构建数据的流式处理，形成尽可能实时的数据分析平台，并提供统一可对外调用的接口；4、 对业务进行深入分析，通过数据驱动业务的改进和优化。【技能要求】1、 熟悉Linux系统，熟悉Oracle、MySQL、PostgreSQL、Hive、ElasticSearch一种或以上的数据库；2、 熟悉Kettle等ETL工具，熟悉数仓模型和维度设计，有实际的数据仓库搭建经验；3、 熟悉Spark / Kafka / Hadoop / Flink体系，具备相关项目的开发经验，有数据实时计算项目经验优先；4、 积极创新，有开拓精神，乐于面对挑战，负责敬业，优秀的团队合作精神。,汽车丨出行,2000人以上,spark,东莞
需求分析师,https://www.lagou.com/jobs/7213540.html,东莞市市辖区,16k-32k,易宝软件科技（南京）有限公司,5-10年,本科,团队都是90后，氛围非常融洽！,任职要求：1、全日制统招本科及以上学历，5年以上IT领域经验（特别优秀的可适当放宽年限）；2、具备以下其中2~3项专业知识和技能；*深入了解商业智能、数据仓库、大数据、建模技术、数据挖掘的技术体系，对业界的主流商业智能软件包具有丰富的应用经验；*熟悉Oracle、SQL server、Sybase等至少一个主流数据库；熟悉Hadoop、Spark、storm等至少一个开源计算框架，主导或参与过BI、数据仓库、大数据项目的设计实施和落地；*熟悉互联网用户使用体验分析，有门户网站、社区网站、电子商务网站等互联网项目的分析与架构设计、开发实施等基本技能；*熟悉主流的架构设计方法（微服务架构、分布式架构、高并发架构、云化架构等）；*精通ORACLE ERP财务模块功能，具备大型企业ERP上线经验及FUSion实施经验的优先；*熟悉ORACLE 、SAP、金蝶等至少一种ERP软件包或海波龙EPM软件包的技术架构者优先，掌握软件包后台表结构，熟悉并发管理器原理、了解trace和debug方法；*精通B/S系统架构的相关技术，熟悉J2EE设计模式，熟悉主流应用服务器框架、分布式数据库、缓存、文件系统、消息系统等技术，具备丰富的Java前后台开发经验；*熟悉软件开发项目管理，有中型的WEB系统开发实施经验，能独立完成项目的运作，具备敏捷、持续集成、DevOps经验者优先；3、具备以下其中1~2项成功实践经验；*IT产品规划实践经验；*技术方案设计实践经验；*ERP软件包技术方案实践经验*代码开发实践经验*中大型系统的实践经验。,移动互联网,150-500人,spark,东莞
高级Java研发工程师,https://www.lagou.com/jobs/7140515.html,东莞市市辖区,10k-18k,北京泛钛客科技有限公司,3-5年,本科,足额五险一金、员工团建、节假日福利,岗位职责：1、参与公司技术方案选型、技术框架预研；2、负责公司人工智能、大数据等系统的架构设计与功能开发；3、负责系统研发过程的技术管理，厘清技术细节，解决主要难点；4、负责发现和解决系统的性能问题，推进系统的性能优化，推进系统高并发、高可用的特性实现。任职资格：1、良好的沟通能力、分析能力和解决问题能力；2、具有3年以上银行、金融行业系统研发经验；3、计算机或者金融相关专业背景，统招本科及以上学历；4、JAVA基础扎实，对JVM原理有一定了解；5、熟悉分布式系统常用技术，如SpringMVC、MyBatis、Dubbo、Redis、MQ、Zookeeper等；6、熟悉大数据技术，如Spark、Hadoop、Flink、Tensorflow等；7、熟悉数据库技术，拥有较好的数据库设计能力，熟悉MySQL、Oracle之一；8、985/211高校毕业生优先；9、有一线互联网或金融机构科技工作经验优先；10、有人工智能、大数据系统研发经验优先。,"金融,数据服务",150-500人,spark,东莞
java开发,https://www.lagou.com/jobs/6883135.html,东莞市市辖区,15k-30k,华为技术有限公司,不限,本科,大厂背景,职责描述：1、掌握C/C++、JAVA、Python、GO、JS中的至少一种，掌握常见的数据结构、算法，了解软件工程、敏捷开发等知识，熟悉常用设计模式；2、熟悉大数据开发框架，熟悉Hadoop/Spark/Hbase/MPP DB及业界主流流处理平台如Storm/Flink/Spark Streaming之一;3、理解云化、虚拟化环境下大数据、机器学习/深度学习或有实际操作经验者优先；任职要求：1、掌握常用系统设计原则、方法和常用的系统设计工具，如UML、J2EE等；2、理解SOA、微服务、中间件等PaaS相关的关键理念与技术，并对其有广泛的实践与应用经验者优先；3、主导/主力参与过产品版本、领域架构设计和优化。ps：主要看技术语言对标，大数据和算法属于加分项19年本科毕业即可投递，不限经验，不限专业；只要编程能力扎实，接受无项目经验。除东莞外，另有长沙、南京、西安、北京、上海、成都、济南等工作地点岗位需求 欢迎投递咨询！,通讯电子,2000人以上,spark,东莞
大数据分析师,https://www.lagou.com/jobs/6771529.html,,25k-50k,华为技术有限公司,不限,本科,平台大,,通讯电子,2000人以上,spark,东莞
高级软件开发工程师（技术主管）,https://www.lagou.com/jobs/6938521.html,东莞市市辖区,15k-25k,广东臻创信息科技有限公司,3-5年,本科,朝九晚六、周末双休；六险一金；住宿补贴。,"工作职责：1．主导公司智慧校园大数据及相关信息化软件产品研发迭代、业务需求分析，交付安全、高可用和可靠产品；2．负责大数据及信息化产品架构的分析和设计，基于大数据生态圈，设计支持离线、在线、流处理等大数据场景的技术架构；3．负责产品架构设计和核心模块开发，指导团队研发，保证设计和编码的质量，承担重点、难点的技术攻坚；4．负责参与核心代码开发，并通过设计有效的策略提升开发、测试、维护等全流程及产品全生命周期效率；5．主导系统的升级优化，有效提升代码执行效率（或性能）或明显缩减代码规模以及运行稳定性；分析产品可维护需求及其价值，参与产品或平台新版本可维护设计改进，提升产品诊断能力；6．负责大型项目规划建设方案以及可研方案的统筹主导撰写。任职要求：1．计算机相关专业，本科或以上学历，三年或以上工作经验；2．对大数据有成功产品案例经验者优先。7．有丰富的关键核心模块/组件的需求分析、方案设计、软件开发经验，具备一定的数据产品分析洞察及规划能力；3．后端开发：精通JAVA/PHP/Python语言，有扎实的编程能力和优秀的设计能力；精通Spring、MyBatis、SpringBoot、Laravel、Swoole等应用框架并熟悉实现原理, 有微服务架构设计/开发经验优先；4．前端开发：熟练运用JavaScript、HTML5、CSS3等，有主流的JS库和开发框架(jQuery、Zepto，Angularjs/React/Vue)应用经验优先；5．大数据开发：熟悉大数据开发框架，精通Hadoop/Spark/Hbase/Hive及业界主流流处理平台如Storm/Flink/Spark Streaming之一应用，对于上述组件有实际的性能调优经验者优先；6．能够深入理解产品的业务场景和关键需求，参加过大规模软件系统开发和维护；7．业务理解力强，对技术有激情，喜欢钻研，能快速接受和掌握新技术，有较强的独立、主动的学习能力，能带开发团队以及指导提升下属；8．系统架构师证书/PMP证书持有者优先。","移动互联网,企业服务",15-50人,spark,东莞
