job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
深度学习算法初级工程师,https://www.lagou.com/jobs/6792691.html,西青区,9k-15k,天地伟业技术有限公司,1-3年,本科,"奖金丰厚,福利待遇好,各种团建,发展空间","岗位职责:1、目标检测、目标识别、目标跟踪基础算法指标优化；        2、人脸检测、识别算法指标优化；        3、深度学习模型优化；任职资格:1、图像处理、模式识别、数学、物理、计算机等相关专业，1年及以上经验；        2、具有良好的数学功底，具备丰富的数字图像知识和模式识别基础知识，熟练使用opencv等开发工具；        3、熟悉至少一种深度学习框架（Caffe，TensorFlow，Torch等），能够根据需求修改源码，至少熟练使用C/C++，Python语言其中一种进行编程；        4、熟知目前主流的用于物体检测（fast-rcnn,RFCN，YOLO,SSD），分类的深度学习网络模型（AlexNet, VGGNet, ResNet, InceptionNet等），具有人脸检测识别经验者优先；","硬件,移动互联网",500-2000人,深度学习,天津
深度学习算法中高级工程师,https://www.lagou.com/jobs/6792669.html,西青区,14k-25k,天地伟业技术有限公司,3-5年,本科,"奖金丰厚,福利待遇好,各种团建,发展空间","岗位职责:1、目标检测、目标识别、目标跟踪基础算法设计；        2、人脸检测、识别算法代码设计工作；        3、深度学习模型创建和优化；任职资格:1、图像处理、模式识别、数学、物理、计算机等相关专业，3年及以上经验；        2、具有良好的数学功底，具备丰富的数字图像知识和模式识别基础知识，熟练使用opencv等开发工具；        3、熟悉至少一种深度学习框架（Caffe，TensorFlow，Torch等），能够根据需求修改源码，至少熟练使用C/C++，Python语言其中一种进行编程；        4、熟知目前主流的用于物体检测（fast-rcnn,RFCN，YOLO,SSD），分类的深度学习网络模型（AlexNet, VGGNet, ResNet, InceptionNet等），具有人脸检测识别经验者优先；","硬件,移动互联网",500-2000人,深度学习,天津
深度学习平台产品经理,https://www.lagou.com/jobs/7048671.html,津南区,12k-20k,北京易华录信息技术股份有限公司,3-5年,不限,央企 宿舍 食堂 补贴 体检 年假,岗位职责： 1、了解算法训练及推理的框架技术，提炼共性的AI平台化产品需求；2.  负责AI中台产品（训练及推理平台）的需求调研、规划设计并推动技术团队将产品落地，保证AI平台与其它算法团队与业务团队有机合作；3、整合内部算法团队和外部算法生态需求，建设符合数据湖（ToG，ToB及ToC）场景的AI中台，持续提升和完善产品； 4、负责AI中台平台在客户侧的咨询、解决方案和实施交付，保证项目按期交付，以及客户的满意度； 5、不断跟进人工智能领域的技术发展，及时将相关技术引入机器学习平台，保证产品行业领先的竞争力。 岗位要求： 1、全日制大学及以上学历，计算机科学、电子工程、信息工程或其它相关理工科专业学士以上学位； 2、2年以上机器学习或深度学习平台的相关产品经理工作经验； 3、了解常见的机器学习算法和框架，熟悉机器学习在视频分析、大数据分析等业务场景的应用方式；4、熟悉AI数据处理、建模、训练、推理、模型部署全链路流程技术5.  能够独立完成机器学习产品的需求调研、市场分析、用户调研、产品设计、效果评估等工作； 6.  学习主动性强， 想象力丰富，有创意、有激情，良好的沟通能力和团队合作精神；7.  具有平台型产品研发或测试工作者优先，熟悉kubeflow，TensorFlow平台者优先。,移动互联网,500-2000人,深度学习,天津
算法工程师,https://www.lagou.com/jobs/7048634.html,津南区,15k-25k,北京易华录信息技术股份有限公司,3-5年,本科,央企 宿舍 食堂 补贴 体检 年假,"工作职责:1. 负责目标检测、多物体追踪、物体分割等计算机视觉项目，优化模型效果和性能，压缩模型大小；2. 负责计算机视觉算法环境搭建；3. 配合平台服务研发同事，部署发布算法。任职资格:1.本科及以上学历，计算机、机器学习、图像算法等相关专业；2.熟练掌握C/C++/python，熟悉OpenCV图像处理库；3.熟练掌握至少一种深度学习框架，包括但不限于Tensorflow, Keras, Caffe, Pytorch；4.掌握计算机视觉和图像处理基本算法，熟悉CNN,RNN,LSTM等经典深度学习模型的使用场景和方法；5.有基于CUDA优化项目经验者优先；6.在计算机视觉顶会（CVPR, ICCV, ECCV, AAAI）发表过文章者优先；7.参加过计算机视觉相关国际竞赛，并取得一定名次者优先。",移动互联网,500-2000人,深度学习,天津
模型算法工程师,https://www.lagou.com/jobs/6733701.html,南开区,5k-10k,天津天滨瑞成环境技术工程有限公司,3-5年,硕士,待遇好，服务对象高端，工作有发展空间,工作内容:水动力及水污染模型构建及应用任职条件：1.环境科学、环境工程等相关专业硕士研究生及以上学历；2.有水动力模型、污染负荷评估模型学习或工作经验的优先。,其他,50-150人,深度学习,天津
自然语言算法工程师,https://www.lagou.com/jobs/6808727.html,滨海新区,8k-15k,天津萌兔科技有限公司,1-3年,本科,股票期权,技能要求：人工智能，信息抽取岗位职责1、信息抽取、文本摘要、文本分类/聚类、推荐系统、网络舆情；2、词法分析、句法分析、语义分析3、对各种自动分类、自动摘要、自动主题词进行算法评估与调整，进行最优算法的研究与实践4、熟悉机器学习基础理论和常用算法，有深度学习经验者5、动手能力强，可快速实现想法任职要求1、自然语言处理、人工智能、计算机科学技术、应用数学本科以上，硕士优先，工作两年以上。2、精通算法设计/数据结构3、信息检索/过滤、信息抽取、文本摘要、文本分类/聚类、语义搜索、推荐系统等相关方向的研究和开发经验。4、很强的分析问题和解决问题能力，缜密的逻辑思维能力，有攻关疑难的强烈兴趣。5、有强烈的上进心和求知欲，善于学习新事物。6、对NLP领域相关机器学习、算法有较深的研究和实践,"移动互联网,电商",15-50人,深度学习,天津
学习规划师,https://www.lagou.com/jobs/5834819.html,东丽区,6k-10k,环球优学（天津）教育咨询有限公司东丽分公司,不限,大专,五险一金、内部竞聘,岗位职责：（1）负责热线咨询电话的接听及客户约访、客户接待咨询及协议谈判签署工作；（2）根据企业业务流程对客户学生的学习状况做出分析与诊断，制定辅导计划与方案；（3）负责学员客户的需求分析与处理公司客户的产品与服务咨询。任职要求：（1）善于与人交流，口齿伶俐、表达清晰、形象大方得体、气质优雅；（2）有较强的沟通及商务谈判能力；（3）有较强的韧性，能够面对工作中出现的各种压力；（4）为人正直、讲诚信，有极强的团队精神；（5）有较强的学习能力及技能运用能力，能够活学活用；（6）专科以上学历，教育学或心理学专业者、或有实际教育产品营销经验优先。职业晋升空间：业务方向：助理咨询师——初级咨询师——中级咨询师——高级咨询师——钻石咨询师…管理方向：中级咨询师——校咨询主任——分咨询经理——分咨询总监/校区校长…福利待遇：五险一金、高配置办公环境、股权激励、员工宿舍、技能培训、带薪假期（病假、婚嫁、年假、产假）、旅游拓展、绩效奖金、节假日福利、生日贺礼、各项文化娱乐活动等；,教育,2000人以上,深度学习,天津
学习规划师,https://www.lagou.com/jobs/6582489.html,河西区,4k-8k,北京中公教育科技有限公司天津分公司,不限,本科,五险一金、一年两次晋级加薪机会,1、接听学员热线，接待来访学员；2、维护资源，为学员提供课程咨询，高效跟单；3、熟悉公司的产品和系统操作；,教育,2000人以上,深度学习,天津
学习管理师,https://www.lagou.com/jobs/5617723.html,武清区,5k-10k,天津学信教育信息咨询有限公司,不限,不限,五险一金，年假旅游，年度体检，节日福利,1、教师、学生、家长三方桥梁；2、学籍登记，及时落实学员的课时安排；3、负责对孩子教学进度的追踪及了解，做好对孩子的回访记录。对学生出现的任何问题，给予及时疏导和解决；4、做好与家长的沟通工作；5、观察学生、家长的思维动向，进行保单和续费工作。任职要求：1、专科及以上学历2、有丰富的销售工作经验，建议有1-3年的销售工作经历3、有良好的口头表达能力，工作条理性强，应变能力、协调、控制能力好，善于与人交流，有亲和力福利待遇：底薪+绩效+全勤奖+复报提成！在职该岗人员年薪6-15万！五险一金、单休、年度体检、年度旅游、节日礼品、带薪年假***员提供住宿或者住房补贴，可以办理天津户口和档案迁移,教育,50-150人,深度学习,天津
数据分析主管,https://www.lagou.com/jobs/4271811.html,滨海新区,7k-10k,北京五八到家信息技术有限公司,3-5年,大专,"五险一金,晋升空间,工作环境,带薪年假",岗位职责：1、    高效处理并深度挖掘数据，定期输出标准化报告，为客服中心现场运营提供数据及策略支持。2、    业务预测、预警等专项的业绩分析数据模型优化，输出项目型报告，为业务部门提出运营策略建议。3、    完善数据分析标准及不断优化数据模型。4、    搭建并优化数据指标体系，带领团队深入分析数据，促进业务指标提升。任职要求：1、    大学专科以上学历，数学、统计、相关背景优先。2、    对数据敏感，较强的逻辑分析能力和文字表达能力。3、    熟练运用Excel等相关软件。4、    良好的沟通能力，实现业务协作和过程跟踪与推进。强烈的责任心，工作细致，有条理，善于学习，具有良好的团队合作精神，能够承担一定的工作压力。,消费生活,2000人以上,深度学习,天津
大客户销售,https://www.lagou.com/jobs/6752674.html,南开区,10k-20k,三节课信息咨询（北京）有限公司,3-5年,大专,13薪,工作职责:1、   负责公司新职业人才能力建设解决方案的售卖；2、   负责大客户的开发、深耕，协调内部资源，达成个人季度、年度销售目标；3、 洞察客户需求，不断挖掘客户的潜在价值，为客户提供人才能力建设解决方案；4、 与各大企业HR部门及产品、运营等部门保持良好的沟通，积累行业人脉，有效执行和推进客户经营计划；5、 深入了解本行业，把握最新行业及竞品信息，为公司业务发展和销售策略提供建议6、 持续关注客户服务动态，做好客户深度经营，提升客户满意度，提高复购率。任职资格:1、 统招本科以上学历，3年以上培训、人力资源相关行业或大型软件销售工作优先；2、 具有大项目管控经验，能够把握项目关键节点，与高层对话，促进客户决策和合作；3、 具备顾问式销售技能，大客户开发能力，获取商机、赢得客户认可4、 良好的工作心态，积极进取，学习能力强，具备较强的沟通能力和抗压性；5、 对自我有较高的要求，追求卓越，不断挑战来提升自己。,"教育,企业服务",150-500人,深度学习,天津
