job_name,job_url,job_location,job_salary,job_company,job_experience,job_class,job_given,job_detail,company_type,company_person,search_key,city
运营专员,https://www.lagou.com/jobs/7073406.html,东莞市市辖区,4k-5k,深圳市宁远科技股份有限公司,不限,大专,扁平化管理 团队氛围好,职位描述：1、负责在医院接待预约挂号客户；2、受理预约挂号客户的问题，并提供解决方法，需要支持的及时向主管汇报；3、协助医院日常关系维护；4、向潜在客户推广预约挂号服务，引导市民进行预约挂号服务；5、关注医院其他竞争对手情况，及时汇报；6、协助拓展与预约挂号相关的其他服务；7、预见系统现场运行状态，发现系统问题，及时向领导反馈；8、每天记录客户投诉问题，每周合并日志形式周报；9、上级安排的其他临时任务；10、具有团队意识。 （简历请附上照片）。职位要求：1、普通话标准、口齿伶俐、思维敏捷，语言表达清晰、流畅，医学类优秀毕业生优先考虑；2、有一定计算机基础；3、对医院运营工作感兴趣，乐于为医院患者提供帮助，有客户服务或医院工作经验者优先；4、工作严谨，认真负责，具有良好的沟通能力和接待能力，以及良好的协调能力和亲和力，具有良好的服务意识；5、积极主动、吃苦耐劳，能胜任一定的出差要求。,移动互联网,500-2000人,运营,东莞
门店运营专家(007137),https://www.lagou.com/jobs/7066277.html,东莞市市辖区,30k-60k,维沃移动通信有限公司,5-10年,本科,"工作有挑战,团队有激情,付出有回报",1、主导线下门店的运营思路的顶层设计，为线下门店零售的增长提供建议；2、组织和搭建线下门店零售驱动要素的研究；3、输出不同场景下线下不同类型门店的零售策略。1、本科及以上学历，具有营销、管理、运营、统计、心理学等相关专业背景；2、工作经验5年以上，有全国总部零售门店运营管理经验优先；3、系统性、结构性思维强，同时有很强的沟通协调能力；4、具有一定的团队管理能力。,硬件,2000人以上,运营,东莞
电商直播运营,https://www.lagou.com/jobs/6979734.html,东莞市市辖区,8k-15k,北京字节跳动科技有限公司,1-3年,本科,"六险一金,团队氛围好,扁平管理",,文娱丨内容,2000人以上,运营,东莞
电商广告运营专员,https://www.lagou.com/jobs/7192812.html,东莞市市辖区,6k-10k,北京字节跳动科技有限公司,1-3年,本科,六险一金，季度调薪大,岗位职责：1、负责电商行业广告客户维护和运营工作，建立与企业的深度合作关系；2、统计各类流量、成交数据，不断优化推广效果，分析并调整营销策略；3、对电商客户、产品进行分层运营，跟踪后续转化效果，并根据数据表现持续优化运营体系；4、收集市场客户及同行业对标产品相关市场信息及动态，并提出合理优化建议。任职要求：1、本科以上学历；2、具备1年以上电商运营经验；3、有良好的客户服务意识；4、具有良好的与客户的沟通能力，逻辑清晰，善于引导客户，对广告有浓厚的兴趣；5、有较强的理解能力和表达能力，有较好的分析及总结归纳能力；6、抗压能力强，有耐心，性格开朗热情，有责任心，进取心及团队协作精神。,文娱丨内容,2000人以上,运营,东莞
速卖通运营,https://www.lagou.com/jobs/7218389.html,东莞市市辖区,5k-10k,深圳市单车教授科技有限公司,1-3年,大专,福利待遇 工作时间,岗位职责：1、负责独立操作和运营速卖通销售平台，维护和管理账号安全；2、负责店铺的日常销售和管理工作，包括产品上下架、版面、推广、销售、售后等工作；3、独立进行产品推广与策划、客户的开发与维护、信息的编辑及发布；4、了解速卖通平台规则变化，跟踪分析市场热款爆款的销量情况，不断的更新和推爆款；5、完善店铺各项政策与制度，保持好店铺的好评率和良好的信用度；6、完成上级临时交代的事务。任职资格1、大专学历以上，英语四级，有较强的读写能力；2、一年以上的速卖通等外贸平台操作经验，；3、丰富的电商销售经验，敏锐的市场分析能力；4、责任心强，语言表达强，思维活跃，反应灵敏，能承受较大的工作压力；5、工作积极主动，责任心强，具有良好的客户服务意识和团队合作精神。薪酬福利：（1）上班时间：单休制（9:000-18:30)，加班自己控制；（2）薪酬范围：底薪5000元+业绩提成（3）保险福利：购买五险，签定劳动合同；有（4）可协助解决住宿问题，公司每天统一安排午饭。,"电商,其他",15-50人,运营,东莞
多媒体运营,https://www.lagou.com/jobs/7215064.html,东莞市市辖区,6k-8k,东莞市圣越服饰有限公司,1-3年,本科,公司氛围好，虎门女装领导者,"岗位职责：
 负责管理公司运营的各社交媒体平台（微信、微博、官站、豆瓣、instagram等）的整体运营规划、计划制定和发布执行。
2. 负责公司各社交媒体日常资讯的选题、素材搜集、编辑、发布、交互运营等工作；3. 负责后台系统数据分析管理；4. 负责公司各社交媒体的客户关系管理；5. 结合公司理念及公司发展方向，定期策划社交媒体互动、推广方案；6. 公司安排的其它项目性工作。任职要求：1. 艺术类、网络传播、新闻学相关专业本科以上学历；2年以上相关工作经验；有自媒体运营工作经验者优先考虑；2. 具备深厚的文笔功底和独立写作能力，能独立完成图文撰写及内容质量监控；能熟练操作Photoshop软件；3. 具有独立运营微信、微博等网络社交平台的能力，有网络营销炒作事件经验者优先考虑；4. 对艺术与时尚有敏锐触觉，对网络推广传播有浓厚兴趣；能独立运营公司的社交媒体5. 具备一定的活动策划能力，数据分析能力、项目管理能力；6. 个性开朗、外向，有强烈的责任心，团队合作意识强，工作积极主动；具备良好的沟通协调、策划及执行能力，能承担较强工作压力。",电商,50-150人,运营,东莞
新媒体运营,https://www.lagou.com/jobs/6733087.html,东莞市市辖区,5k-8k,深圳奶爸保咨询管理有限公司,1-3年,本科,年终奖金、绩效奖金、节日慰问,1、根据公司各部门人力需求制定招聘计划；2、招聘渠道的开拓与维护；3、多渠道挖掘岗位人才并进行电话测评及面谈邀约；4、搭建人才简历库，储备人才资源；任职要求：1、大专及以上学历，有同岗位工作经验1年及以上；2、表达沟通良好，思维敏捷；3、心态良好，抗压力强；4、有猎头类招聘工作经验优先考虑。,其他,50-150人,运营,东莞
网络运营总监,https://www.lagou.com/jobs/6733073.html,东莞市市辖区,10k-15k,深圳奶爸保咨询管理有限公司,5-10年,本科,参与公司红利分配,1、负责根据公司年度战略业务目标要求制定部门绩效目标及对部门绩效达成总负责。2、负责公司业务品牌与产品的运营平台的总策划指导与监督执行。3、负责公司产品文案、品牌文案、资讯内容、专题内容等的撰写指导和监督执行。4、负责网站推广策略总制订以及执行指导和监督管理。5、负责流量平台的开拓及引流获客。6、负责网站数据分析、运营提升。7、负责搜索竞价平台的管理。任职资格：1、5年以上电子商务/网络营销工作经验，3年以上项目策划、运营经验。2、具备项目管理、营销策划、品牌策划、网络营销等系统的理论知识和丰富的实践经验。3、优秀的电子商务/网络营销项目策划运营能力，熟悉网络文化和特性，对各种网络营销推广手段都有实操经验。4、卓越的策略思维和创意发散能力，具备扎实的策划功底。5、优秀的文案能力，能撰写各种不同的方案、文案。6、对网络营销商业全流程都具备策划、运营、控制、执行能力。7、丰富的的管理经验、优秀的团队管理能力。8、具有微信公众号、微商运营经验更佳。,其他,50-150人,运营,东莞
阿里巴巴运营,https://www.lagou.com/jobs/7171235.html,东莞市市辖区,5k-9k,东莞市靖禧科技有限公司,3-5年,不限,"底薪＋全勤＋餐补＋提成
八小时，单休",熟悉阿里巴巴后台操作能独立完成任务的朝十晚七，八小时,电商,少于15人,运营,东莞
自媒体运营,https://www.lagou.com/jobs/7214904.html,东莞市市辖区,6k-8k,东莞市圣越服饰有限公司,1-3年,本科,社福待遇好，公司发展好！,工作职责：1. 负责管理公司运营的各社交媒体平台（微信、微博、官站、豆瓣、instagram等）的整体运营规划、计划制定和发布执行。2. 负责公司各社交媒体日常资讯的选题、素材搜集、编辑、发布、交互运营等工作；3. 负责后台系统数据分析管理；4. 负责公司各社交媒体的客户关系管理；5. 结合公司理念及公司发展方向，定期策划社交媒体互动、推广方案；6. 公司安排的其它项目性工作。任职资格：1. 艺术类、网络传播、新闻学相关专业本科以上学历；2年以上相关工作经验；有自媒体运营工作经验者优先考虑；2. 具备深厚的文笔功底和独立写作能力，能独立完成图文撰写及内容质量监控；能熟练操作Photoshop软件；3. 具有独立运营微信、微博等网络社交平台的能力，有网络营销炒作事件经验者优先考虑；4. 对艺术与时尚有敏锐触觉，对网络推广传播有浓厚兴趣；能独立运营公司的社交媒体5. 具备一定的活动策划能力，数据分析能力、项目管理能力；6. 个性开朗、外向，有强烈的责任心，团队合作意识强，工作积极主动；具备良好的沟通协调、策划及执行能力，能承担较强工作压力。,电商,50-150人,运营,东莞
淘宝运营,https://www.lagou.com/jobs/6760239.html,东莞市市辖区,5k-10k,东莞市鸿亨数控刀具有限公司,1-3年,不限,行业发展潜力高，岗位上升空间大,岗位职责:1，负责公司网店的运营和推广，提高产品销量。2，定期策划网店活动，提高店铺转化率。3，协助上级完成其它运营相关工作。任职要求:1，2年以上淘宝运营经验，能独立进行整店运营操盘。2，掌握基础的美工设计能力，熟练使用PS、AI软件。3，掌握一定的电商推广资源和渠道资源。4，良好的职责操守，极强的上进心。,"电商,广告营销",15-50人,运营,东莞
电商运营,https://www.lagou.com/jobs/7023063.html,东莞市市辖区,5k-10k,东莞市鸿亨数控刀具有限公司,1-3年,大专,蓝海行业和产品，职业发展空间大,"职位描述1.负责公司安排的任务，执行力强；2.店铺商品编辑,优化完善商品信息,提升产品转化率;3.店铺推广工作,利用各种网络资源,对店铺进行宣传;4.根据不同推广渠道,策划适应于用户群体的推广活动;5.统计分析店铺各项数据,筛选产品及推广方法,策划各种促销活动；6.做好客户咨询售后服务工作，开发新客户，维护老客户！任职资格：1、大专以上文化，喜欢电子商务工作，1年以上运营助理或客服经验；2、工作积极，对淘宝、京东感兴趣，吃苦耐劳，服从管理，忠于公司。3、良好的沟通能力及团队协作能力，富有责任心，学习能力强。待遇：餐补，话费补贴，底薪加业绩提成，挑战性强，能力越强，收获越多。","电商,广告营销",15-50人,运营,东莞
电商运营,https://www.lagou.com/jobs/7215501.html,东莞市市辖区,10k-18k,深圳精锐恒通电子有限公司,3-5年,本科,合作，底薪加提成,岗位职责：1、负责第三方电商平台（淘宝、天猫、天猫国际等）的日常运营和销售推广，对平台的品牌活动及销售负责；2、负责平台的营运分析，建店、管理、推广及分销商的开拓与管理；3、通过收集整理运营数据、评估效果，制定促销策略，分析平台数据，完成销售额；4、能指导客服及协调美工的工作；5、善于发现问题，并解决店铺销售过程中遇到的各类问题。任职要求：1、有丰富的第三方电商平台运营经验，熟悉不同平台的经营方式；2、熟练掌握相关平台管理、推广的技能和经验；3、具有较强的沟通能力和商品活动策划能力；4、能够提升品牌销量，熟悉各渠道工作，协调各方面的资源及时跟进推广效果；5、思维清晰、反映敏捷，具有创新精神、良好的职业操守；6、喜欢挑战，希望在电子商务市场里成长和最终实现自己梦想；7、有平台分销渠道拓展和分销商管理工作经验者优先。,硬件 医疗健康,150-500人,运营,东莞
亚马逊运营,https://www.lagou.com/jobs/7205069.html,东莞市市辖区,6k-12k,东莞市精锐慧创科技有限公司,3-5年,本科,五险，包吃，提成高，工厂生产直销,"职位类别：销售经理/主管职位描述：1. 负责公司电商平台商品的编辑描述、分类、上架、销售等；2. 市场分析、开发新的热销产品；3 负责整理询盘、在线回函以及订单的制作4. 与客户进行沟通并处理销售中的各类问题；5. 维护并提高账户信誉；6. 有责任心，能承受较大的工作压力任职要求：1、大专以上学历，国际经济贸易、商务英语等相关专业者优先；2、英语四级以上，英语综合能力良好，有良好的书面和口头交流能力；3、熟悉计算机操作，英文打字速度良好；4、积极向上、有目标、有规划，意愿与公司共同发展；5、工作踏实稳重，注重团队合作，凭自己的能力拿高薪，肯吃苦。6、有速卖通，Ebay,Amazon等相关操作经验的优先。薪酬福利底薪+提成和阶梯型绩效工资。基本工资+提成+绩效奖金, 缴纳社保。",物联网、电商,50-150人,运营,东莞
运营专员,https://www.lagou.com/jobs/7191125.html,东莞市市辖区,6k-12k,微码易付科技投资（广东）有限公司,应届毕业生,不限,平台开发客户，分析数据，制定运营方案。,招聘职位：网络客服、推广专员招聘要求：1、年龄18-28周岁，学历不限，乐观积极、敢于挑战高薪； 2、懂得电脑简单操作即可会基本打字均可无经验需求； 3、有团队协作精神，语言表达能力强，善于沟通，有事业心； 4、拒绝无上进心、混日子的员工5、工作内容:平台寻找有合作意向的客户、分析数据，制定运营方案工作时间：周一至周六，9:00-12:00；14:00-19:00工资待遇：底薪2200-5800➕10-20%提成、综合薪资8000-12000公司不定时组织聚餐旅游下午茶等福利、年轻化公司、轻松愉快的氛围工作地址：东莞市南城区华凯广场B,软件开发、数据服务,50-150人,运营,东莞
运营专员,https://www.lagou.com/jobs/6748055.html,东莞市市辖区,5k-10k,东莞蛛网信息科技有限公司,3-5年,大专,五险一金、股权激励、,岗位职责1负责公众号运营，网站后台操作，网站排版。产品文案编辑，2制定运营方案，挖掘运营数据，分析用户行为，优化运营策略，提高用户粘性，提升网站流量和转化率。3优化客户体验，提升网站优化程度和客户体验度。任职资格1、有SEO经验，SAAS软件、云产品(阿里云、腾讯云、华为云)或智能硬件的推广经验，有运营过公众号、电商等更佳2、有一定电话营销经验，有独立开拓陌生市场的能力，能和初创型公司一起成长3、有一定PS功底、文案功底4、熟悉互联网运营套路，思维活跃，能高效的接受新产品新事物5、熟悉营销类网站策划，布局，具备市场敏感性，善于发掘受众心理；6、数据分析能力强，能通过数据发现问题，提出有效数据报告及优化建议7、熟悉b端市场，对c端市场有所了解,"移动互联网,企业服务",15-50人,运营,东莞
淘宝运营,https://www.lagou.com/jobs/7212981.html,东莞市市辖区,5k-10k,东莞市云铂贸易有限公司,1-3年,不限,底薪+提成+团队奖金+绩效+年终奖,1.负责淘宝店铺整体运营和日常管理，完成销售目标；2.负责制定季度、月度运营计划、推广预算和服务水平提升目标； 3.负责通过市场调查、数据分析对自己店铺进行策划、定位，明确运营方向；4.负责店铺平台和日常活动规划，带领团队做好日常活动和平台活动促进销售；5.负责店铺站内、站位推广策划，并定期对效果跟踪、评估并给出改进方案；6.负责店铺其他运营相关工作； 任职要求：1.大专及以上学历，1年以上淘宝店铺运营策划工作经验。 2.能够独立操作淘宝店铺，包括活动策划、推广、内容策划等； 3.能通过数据分析分析跟踪店铺问题并给出建 议； 4.需要有一定的抗压能力，团队意识强。 5.有打造爆品经历者可优先考虑。 薪资福利： 1.底薪+提成+团队奖金+绩效+年终奖 2.五险 3.出差津贴+带薪年假 4.员工聚餐，不定期组织旅游活动,电商,少于15人,运营,东莞
运营总监（互联网）,https://www.lagou.com/jobs/7186757.html,东莞市市辖区,15k-25k,广东万瑞世家科技集团有限公司,5-10年,本科,周末双休 五险一金 免费午餐 免费班车,岗位职责：1、统筹公司产品运营管理规划，（平台、小程序、APP等）整体运营规划工作，制定运营策略，并执行、监督与分析，对运营指标和结果负责；2、运营推广和品牌营销，负责市场调研和行业内竞争性产品的监测和分析，协调和管理内外各种资源，落实运营规划目标，传递品牌价值，并将商业价值最大化；3、全渠道运营规划，包括基础运营、用户运营、活动运营、媒体运营、社区运营，提升运营效率，对各类运营数据负责；4、负责数据化运营体系的整体规划与执行；5、熟悉用户行为分析、数据挖掘，不断调整优化运营工作，并协助产品、市场、技术等相关部门不断提高用户体验；6、深度捕捉用户痛点，精准有效的线上导流与付费场景，策划线上/线下活动，提升用户新增量，制定运营策略；7、负责运营团队的管理工作，提升团队运营效率，打造高效运营团队；8、完成领导交办的其他事情。任职要求：1、8年以上互联网行业运营工作经验，5年以上运营团队管理经验；2、拥有成熟的产品运营方法、对数据敏感；时刻关注行业变化与机遇；3、具备优秀的沟通表达能力、极强的自我驱动能力，创造力强，责任心强；4、具备优秀的敏感度，善于洞察竞品和行业动态跟踪。,"移动互联网,金融",50-150人,运营,东莞
网店运营,https://www.lagou.com/jobs/7210754.html,东莞市市辖区,5k-10k,东莞市精锐慧创科技有限公司,3-5年,不限,五险，包吃，提成高，工厂生产直销,岗位职责：1、店铺运营：处理商品图片、产品上下架、店铺运营；                 2、售前咨询：运用在线聊天工具回答网上买家提问，引导用户购买下单；                 3、订单处理：操作网店后台处理订单，催发货并完成下单；                 4、售后处理：客户售后问题的咨询和处理；退换货需求的处理。任职要求：1、中专及以上学历，有英语基础或跨境电商运营工作经验者优先；                 2、懂电脑基本操作及熟悉应用PS优先；                 3、有较强的销售意识及责任心。,物联网、电商,50-150人,运营,东莞
运力运营顾问-东莞-松湖片区(J200430006),https://www.lagou.com/jobs/7105178.html,东莞市市辖区,6k-8k,北京嘀嘀无限科技发展有限公司,3-5年,本科,大平台 快速成长,,汽车丨出行,2000人以上,运营,东莞
诚聘电商运营,https://www.lagou.com/jobs/5211123.html,东莞市市辖区,8k-12k,深圳市浩得美科技有限公司,3-5年,大专,"技能增值,灵活处理,弹性操作,奖励机制",主营健康产业，即电子减肥仪器，电子健美健身仪器，美容美体产品，瘦体健身产品等。食补，住宿补或交通补，五险！绩效奖金！带薪年假！员工补贴！员工旅游！海外深造等！热爱健身，喜欢旅游，爱美，热忱新科技者优先！！！岗位职责：1、制定店铺发展计划，阶段目标2、协调团队人员工作，监督客服与美工的工作，推进店铺营销活动，保持网店的正常运作；3、负责平台日常运营数据的整理、统计、分析和管理4、负责店铺全店的整体运营，整体规划、运营策略、营销方案并组织执行，提高品牌影响力和产品销量。5、对市场活动、营销推广、市场调查进行数据追踪和评估6、对市场行情、同行竞品、客户需求等及时分析总结，并做相应调整计划7、负责SEO优化（标题、主题、详情页）、直通车、钻展推广，优化店铺及产品排名，打造产品爆款群，提高店铺点击率、浏览量和转化率；8、店铺日常安全维护，数据监控，问题检查每日监控数据，根据数据的分析及时调整店铺运营。职位资格：1.年龄19-35岁之间，五官端正，无性别歧视者；2.有团队精神和服务意识，为人诚实，热爱生活，喜爱旅游，爱美者优先，喜爱运动健身者优先；3.有一定的电商从业经验以及产品推广销售能力工作时间8：45-18：15（中午2个小时休息时间） 单双周,"电商,医疗丨健康",15-50人,运营,东莞
运营总监,https://www.lagou.com/jobs/7185139.html,东莞市市辖区,15k-25k,广东万瑞世家科技集团有限公司,5-10年,大专,带薪年假，绩效奖金，周末双休，工作餐等,岗位职责：1、统筹公司产品运营管理规划，（平台、小程序、APP等）整体运营规划工作，制定运营策略，并执行、监督与分析，对运营指标和结果负责；2、运营推广和品牌营销，负责市场调研和行业内竞争性产品的监测和分析，协调和管理内外各种资源，落实运营规划目标，传递品牌价值，并将商业价值最大化；3、全渠道运营规划，包括基础运营、用户运营、活动运营、媒体运营、社区运营，提升运营效率，对各类运营数据负责；4、负责数据化运营体系的整体规划与执行；5、熟悉用户行为分析、数据挖掘，不断调整优化运营工作，并协助产品、市场、技术等相关部门不断提高用户体验；6、深度捕捉用户痛点，精准有效的线上导流与付费场景，策划线上/线下活动，提升用户新增量，制定运营策略；7、负责运营团队的管理工作，提升团队运营效率，打造高效运营团队；8、完成领导交办的其他事情。任职要求：1、8年以上互联网行业运营工作经验，5年以上运营团队管理经验；2、拥有成熟的产品运营方法、对数据敏感；时刻关注行业变化与机遇；3、具备优秀的沟通表达能力、极强的自我驱动能力，创造力强，责任心强；4、具备优秀的敏感度，善于洞察竞品和行业动态跟踪。公司福利：1、上班时间：08:30-12:00 13:30-18:00 周末双休，享受国家法定各类假期；2、入职即购买五险；3、公司提供午餐，免费班车；3、不定期组织旅游及户外拓展活动（组织国内外旅游，出国游，各项运动比赛，野外CS等）；4、办公环境优美，还免费提供下午茶水果饮料零食。上班地址：东莞市厚街镇厚街大道万瑞中心13楼,"移动互联网,金融",50-150人,运营,东莞
新媒体运营,https://www.lagou.com/jobs/1823312.html,东莞市市辖区,5k-10k,东莞市微通文化传播有限公司,不限,不限,高薪，优秀者分配期权，创业元老,岗位职责：1、熟悉微信、微博等社交平台运作，重度移动互联网用户；2、能独立策划新媒体互动活动（侧重微信），执行策划，并进行效果追踪；3、能撰写适用于微信、微博的不同类型的自媒体方案，有独到的观点和创意；4、对热点、爆点要有足够敏感度，及时在微信、微博等平台做出响应；5、能综合各种运营手段增加粉丝数、提升用户活跃度。职位要求：1、扎实的文字功底，具备较强的文案策划功底以及活动策划能力，熟悉微博、微信运营、口碑营销、创意推广； 2、对微信的运营和推广有比较深刻的认识；3、具备良好的数据分析能力、语言及文字表达能力、团队协作能力； 4、有社会化媒体平台（微博、微信、论坛）营销经验者优先。本岗位同时招聘在校实习生，欢迎各位有志青年推荐或自荐。,"移动互联网,电商",50-150人,运营,东莞
新媒体运营,https://www.lagou.com/jobs/2273024.html,东莞市市辖区,5k-10k,东莞快创信息科技有限公司,不限,不限,高薪，优秀者分配期权，完善的培训体系,岗位职责：1、熟悉微信、微博等社交平台运作，重度移动互联网用户；2、能独立策划新媒体互动活动（侧重微信），执行策划，并进行效果追踪；3、能撰写适用于微信、微博的不同类型的自媒体方案，有独到的观点和创意；4、对热点、爆点要有足够敏感度，及时在微信、微博等平台做出响应；5、能综合各种运营手段增加粉丝数、提升用户活跃度。职位要求：1、扎实的文字功底，具备较强的文案策划功底以及活动策划能力，熟悉微博、微信运营、口碑营销、创意推广； 2、对微信的运营和推广有比较深刻的认识；3、具备良好的数据分析能力、语言及文字表达能力、团队协作能力； 4、有社会化媒体平台（微博、微信、论坛）营销经验者优先。本岗位同时招聘在校实习生，欢迎各位有志青年推荐或自荐。,"移动互联网,消费生活",50-150人,运营,东莞
新媒体运营,https://www.lagou.com/jobs/6399768.html,东莞市市辖区,2k-4k,东莞快创信息科技有限公司,应届毕业生,不限,"市中心,周末双休,薪酬高,平台大",岗位职责：1、熟悉微信、微博等社交平台运作，重度移动互联网用户；2、能独立策划新媒体互动活动（侧重微信），执行策划，并进行效果追踪；3、能撰写适用于微信、微博的不同类型的自媒体方案，有独到的观点和创意；4、对热点、爆点要有足够敏感度，及时在微信、微博等平台做出响应；5、能综合各种运营手段增加粉丝数、提升用户活跃度。职位要求：1、扎实的文字功底，具备较强的文案策划功底以及活动策划能力，熟悉微博、微信运营、口碑营销、创意推广； 2、对微信的运营和推广有比较深刻的认识；3、具备良好的数据分析能力、语言及文字表达能力、团队协作能力； 4、有社会化媒体平台（微博、微信、论坛）营销经验者优先。,"移动互联网,消费生活",50-150人,运营,东莞
产品运营,https://www.lagou.com/jobs/7149012.html,东莞市市辖区,8k-9k,东莞市天高网络科技有限公司,1-3年,不限,底薪+提成+五险一金+双休+带薪年假,1）岗位要求1.1）负责微信全端口流量和用户运营工作；1.2）负责用户体系的建立、维护和完善，对用户进行分层运营和生命周期管理，通过各种运营手段与工具，有效提升用户的新增、留存、活跃和订单转化；1.3）整理、分析平台数据以及编制运营报表，对平台目前存在的问题提出改进方案，针对不同用户群，不同活动，定期进行用户营销；1.4）根据年度发展指标，负责各类主题活动的策划和执行，负责跨部门协调和沟通，能挖掘和制造热门话题；2）任职资格2.1）本科学历，2年以上互联网行业运营经验，有电商、小程序、APP用户运营经验者优先；2.2）熟悉线上线下活动和用户运营，增长用户活动策划与用户数据分析；2.3）逻辑清晰、做事有条理、有冲劲、有想法，抗压能力强；2.4）良好的用户服务意识，有较强的项目管理能力，沟通协调能力和资源整合能力。,移动互联网,15-50人,运营,东莞
新媒体运营,https://www.lagou.com/jobs/6834596.html,东莞市市辖区,5k-10k,广东极速网络科技有限公司,1-3年,大专,"奖金,旅游,节假日福利,生日趴","职位描述：任职要求： 1、具备自媒体从业经验3年以上经验；对于自媒体有清晰深刻的理解；熟悉百家号、今日头条、微博、微信公众号、大鱼号、搜狐等平台操作规则； 2、需要负责统筹自媒体团队的整体工作，分析数据并反馈，总结经验及方法培训团队新人； 3、具备良好的互联网思维，善于跟踪网络热点，对于网络热词、热事能**时间反应； 4、具备互联网化的文字语言，不限于文字功底好，但胜在有自己的风格。福利待遇：1、上班时间8H,8:30-12:00 13:30-18:00，大小周休，节假日根据国家法定假安排放假。2、不定期举行团体活动、培训、旅游、聚餐，生日礼品发放3、奖金和补贴：全勤奖，绩效奖，季度奖，年终奖。欢迎你的加入，极速体育有你更精彩。备注：我司岗位的薪酬是根据求职者资历、能力、经验等因素确定，该职位薪酬范围在5k-10k","移动互联网,文娱丨内容",15-50人,运营,东莞
运营专员,https://www.lagou.com/jobs/7012481.html,东莞市市辖区,4k-8k,东莞市牛咖信息技术有限公司,1-3年,不限,晋升空间、薪资空间、五险一金 期权,岗位职责：1、基于运营策略策划线上线下活动。把控活动整体节奏和具体活动方案、主题创意、玩法策划、文案、交互、活动复盘等，为活动质量和效果负责；2、研究市场竞争对手的产品进行竞品分析，提供产品策略和运营建议；3、根据运营团队的需求配合开展其它产品运营工作。任职要求：1、专科及以上学历，2年以上运营工作经验；2、有社区运营经验及线下推广、广告、大型活动运营经验者；  3、能力全面且适合产品前期运营，在各个阶段需要承担不同重心的运营工作； 4、善于学习沟通，统筹协调能力强，抗压能力强。,移动互联网,15-50人,运营,东莞
新媒体运营专员,https://www.lagou.com/jobs/7111382.html,东莞市市辖区,3k-6k,广东友贝健康科技有限公司,不限,不限,零食任吃，每年一次涨薪机会，专业培训指导,岗位职责：1、负责公司微信公众号、官网等平台的内容输出和运营管理；2、负责公司营销活动方案相关文案的策划和撰写；3、负责公司品牌形象的维护和推广；4、协助完成运营活动数据跟踪和统计分析，针对活动运营的问题进行不断优化。任职要求：1、大专以上学历（如有新媒体相关运营经验可忽略），接受实习生；2、有一定新媒体运营工作经验，熟悉各大新媒体平台运营规范；3、文笔良好，会撰写产品软文，思路清晰、表达和抗压能力良好；4、具有较好的营销热点敏锐度，对大健康行业有兴趣,医疗健康,15-50人,运营,东莞
国内电商运营专员,https://www.lagou.com/jobs/6905691.html,东莞市市辖区,4k-8k,东莞柏睿斯运动器材有限公司,1-3年,不限,高提成，年底双薪，工作权限高,岗位职责：1、制定店铺发展计划，阶段目标；2、协调团队人员工作，监督客服与美工的工作，推进店铺营销活动，保持网店的正常运作；3、负责平台日常运营数据的整理、统计、分析和管理；4、负责店铺全店的整体运营，整体规划、运营策略、营销方案并组织执行，提高品牌影响力和产品销量；5、对市场活动、营销推广、市场调查进行数据追踪和评估；6、对市场行情、同行竞品、客户需求等及时分析总结，并做相应调整计划；7、负责SEO优化（标题、主题、详情页）、直通车、钻展推广，优化店铺及产品排名，打造产品爆款群，提高店铺点击率、浏览量和转化率；8、店铺日常安全维护，数据监控，问题检查每日监控数据，根据数据的分析及时调整店铺运营。福利待遇：1.五险，食宿补贴2.公司提供有竞争力薪资以及个人良好的发展上升空间3.享有国家法定假期4.员工国内外旅游、公司聚餐工作时间：早上8:45~下午6:15，中间休息2小时，共7.5小时。大小周。,"电商,医疗丨健康",50-150人,运营,东莞
跨境电商运营专员,https://www.lagou.com/jobs/6905083.html,东莞市市辖区,4k-8k,东莞柏睿斯运动器材有限公司,1-3年,大专,高提成，年底双薪，工作权限高,岗位要求：1.大专及以上学历，拥有1年以上跨境电商平台运营经验，条件优秀者可放宽要求。2.制定公司的经营目标及战略方针，负责公司整体业务的运营管理工作，制订跨境电商平台营销策略，优化运营流程，建立完善的线上运营体系。3.对市场整体趋势、竞争对手情况以及公司内部各项运营数据进行分析和总结，为公司业务规划提供决策支持。4.根据销售目标，制定跨境电商平台运营规划及各类营销方案，监督指导各项营销活动执行与优化。5.负责对跨境电商平台的产品定位及采购渠道的分析及开发，制定相应的战略机制，开发爆款及有竞争力的品类。6.出色的风险规避能力，熟知跨境电商的规则；较强的数据分析能力及判断能力，思维缜密；敢于担当，能承受较大压力。福利待遇：1.五险，食宿补贴2.公司提供有竞争力薪资以及个人良好的发展上升空间3.享有国家法定假期4.员工国内外旅游、公司聚餐工作时间：早上8:45~下午6:15，中间休息2小时，共7.5小时。大小周。,"电商,医疗丨健康",50-150人,运营,东莞
